"idDrink","strDrink","strDrinkAlternate","strDrinkES","strDrinkDE","strDrinkFR","strDrinkZH-HANS","strDrinkZH-HANT","strTags","strVideo","strCategory","strIBA","strAlcoholic","strGlass","strInstructions","strInstructionsES","strInstructionsDE","strInstructionsFR","strInstructionsZH-HANS","strInstructionsZH-HANT","strDrinkThumb","strIngredient1","strIngredient2","strIngredient3","strIngredient4","strIngredient5","strIngredient6","strIngredient7","strIngredient8","strIngredient9","strIngredient10","strIngredient11","strIngredient12","strIngredient13","strIngredient14","strIngredient15","strMeasure1","strMeasure2","strMeasure3","strMeasure4","strMeasure5","strMeasure6","strMeasure7","strMeasure8","strMeasure9","strMeasure10","strMeasure11","strMeasure12","strMeasure13","strMeasure14","strMeasure15","strCreativeCommonsConfirmed","dateModified"
"16108","9 1/2 Weeks",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","Cocktail glass","Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.",NA,"Alle Zutaten in einem Glasmischer vermengen. Abkühlen lassen und in das Cocktailglas abseihen. Mit Erdbeerscheiben garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg","Absolut Citron","Orange Curacao","Strawberry liqueur","Orange juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz ","1/2 oz ","1 splash ","1 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:48:22"
"17222","A1",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","Cocktail glass","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",NA,"Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg","Gin","Grand Marnier","Lemon Juice","Grenadine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3/4 shot ","1 Shot ","1/4 Shot","1/8 Shot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-09-07 21:42:09"
"13501","ABC",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Shot glass","Layered in a shot glass.",NA,"Schichtaufbau in einem Schnapsglas.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg","Amaretto","Baileys irish cream","Cognac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/3 ","1/3 ","1/3 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:32:08"
"17225","Ace",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","Martini Glass","Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.",NA,"Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg","Gin","Grenadine","Heavy cream","Milk","Egg White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 shots ","1/2 shot ","1/2 shot ","1/2 shot","1/2 Fresh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-09-07 22:05:06"
"17837","Adam",NA,"Adam","Adam","Adam","<U+4E9A><U+5F53>","<U+4E9E><U+7576>","Alcoholic,Holiday",NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg","Dark rum","Lemon juice","Grenadine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz ","1 oz ","1 tsp ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2016-09-02 11:29:29"
"13938","AT&T",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Highball Glass","Pour Vodka and Gin over ice, add Tonic and Stir",NA,"Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg","Absolut Vodka","Gin","Tonic water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 oz ","1 oz ","4 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-04-24 22:00:19"
"14610","ACID",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Shot glass","Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.",NA,"Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg","151 proof rum","Wild Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 oz Bacardi ","1 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-11-15 11:28:37"
"17833","A. J.",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","Shake ingredients with ice, strain into a cocktail glass, and serve.",NA,NA,NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg","Applejack","Grapefruit juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 oz ","1 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2016-09-02 11:16:58"
"17839","Affair",NA,"Asunto","Affäre","Affaire","<U+4E8B><U+52A1>","<U+4E8B><U+52D9>",NA,NA,"Ordinary Drink",NA,"Alcoholic","Highball glass","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",NA,"Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg","Strawberry schnapps","Orange juice","Cranberry juice","Club soda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz ","2 oz ","2 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2016-09-01 10:05:34"
"15106","Apello",NA,NA,NA,NA,NA,NA,NA,NA,"Other/Unknown",NA,"Non alcoholic","Collins Glass","Stirr. Grnish with maraschino cherry.",NA,"Rühren. Mit Maraschinokirsche garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg","Orange juice","Grapefruit juice","Apple juice","Maraschino cherry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 cl ","3 cl ","1 cl ","1 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:13:35"
"15266","Avalon",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Highball glass","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",NA,"Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg","Vodka","Pisang Ambon","Apple juice","Lemon juice","Lemonade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 parts","1 part ","6 parts ","1 1/2 part ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-04-24 22:22:11"
"17835","Abilene",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Highball glass","Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.",NA,NA,NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg","Dark rum","Peach nectar","Orange juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 oz ","2 oz ","3 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2016-04-29 09:44:25"
"11023","Almeria",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",NA,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg","Dark rum","Kahlua","Egg white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz ","1 oz ","1 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-01-02 20:16:21"
"17228","Addison",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","Martini Glass","Shake together all the ingredients and strain into a cold glass.",NA,"Alle Zutaten vermengen und in ein kaltes Glas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg","Gin","Vermouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 shot ","1 1/2 shot ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-09-07 22:38:20"
"17836","Acapulco",NA,"Acapulco","Acapulco","Acapulco","<U+963F><U+5361><U+666E><U+5C14><U+79D1>","<U+963F><U+5361><U+666E><U+723E><U+79D1>",NA,NA,"Ordinary Drink",NA,"Alcoholic","Old-fashioned glass","Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.",NA,"Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg","Light rum","Triple sec","Lime juice","Sugar","Egg white","Mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 oz ","1 1/2 tsp ","1 tblsp ","1 tsp ","1 ","1 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2016-09-02 11:26:16"
"17840","Affinity",NA,"Afinidad","Affinität","Affinité","<U+4EB2><U+548C>","<U+89AA><U+548C>",NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",NA,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg","Scotch","Sweet Vermouth","Dry Vermouth","Orange bitters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 oz ","1 oz ","1 oz ","2 dashes ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","2017-09-07 21:44:05"
"11046","Applecar",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","Shake all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg","Applejack","Triple sec","Lemon juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 oz ","1 oz ","1 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-09-02 23:02:44"
"17180","Aviation",NA,NA,NA,NA,NA,NA,"IBA,Classic",NA,"Cocktail","Unforgettables","Alcoholic","Cocktail glass","Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.",NA,"Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg","Gin","lemon juice","maraschino liqueur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 cl","1.5 cl","1.5 cl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-11-04 09:55:28"
"11014","Alexander",NA,NA,NA,NA,NA,NA,"IBA,Classic,Dairy",NA,"Ordinary Drink","Unforgettables","Alcoholic","Cocktail glass","Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.",NA,"Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg","Gin","Creme de Cacao","Light cream","Nutmeg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/2 oz ","1/2 oz white ","2 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-11-04 09:50:39"
"11020","Algonquin",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",NA,"Alle Zutaten mit Eis mischen und schütteln, Inhalt in ein Cocktailglas abseihen und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg","Blended whiskey","Dry Vermouth","Pineapple juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 oz ","1 oz ","1 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-01-02 20:11:13"
"11021","Allegheny",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.",NA,"Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg","Dry Vermouth","Bourbon","Blackberry brandy","Lemon juice","Lemon peel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 oz ","1 oz ","1 1/2 tsp ","1 1/2 tsp ","1 twist of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-01-02 20:12:14"
"11055","Artillery",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Cocktail glass","Stir all ingredients with ice, strain into a cocktail glass, and serve.",NA,"Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg","Sweet Vermouth","Gin","Bitters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 1/2 tsp ","1 1/2 oz ","2 dashes ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-04-24 22:02:27"
"12560","Afterglow",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Non alcoholic","Highball Glass","Mix. Serve over ice.",NA,"Mischen. Auf Eis servieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg","Grenadine","Orange juice","Pineapple juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 part ","4 parts ","4 parts ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:07:32"
"12756","Autodafé",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Highball glass","Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.",NA,"Mischen und mit Sodawasser auffüllen. Getrunken von Finnen an einem sonnigen Tag zu jeder Jahreszeit und an jedem Tag.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg","Vodka","Lime juice","Soda water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 cl ","1 dash ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2017-02-20 15:02:08"
"13162","Afternoon",NA,NA,NA,NA,NA,NA,NA,NA,"Coffee / Tea",NA,"Alcoholic","Collins Glass","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",NA,"In ein passendes Glas geben, ohne Eis. Auf Wunsch mit Sahne überziehen. Direkt serviert.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg","Kahlua","Baileys irish cream","Frangelico","Coffee","Cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 cl ","1 cl ","1 1/2 ","4 cl hot ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:22:57"
